UNIQUE_READS_PERCENT, POLICY, READ_WRITES, CACHE_SIZE, RAM_SIZE, HIT, MISS, RATIO,TIME ns
40.0,LFU, 2001,100,1000,209 ,791, 0.209,31.690359115600586
40.0,FIFO, 2001,100,1000,240 ,760, 0.24,31.244993209838867
40.0,LRU, 2001,100,1000,223 ,777, 0.223,31.26811981201172
40.0,LFU, 2001,100,1000,227 ,773, 0.227,47.30510711669922
40.0,FIFO, 2001,100,1000,221 ,779, 0.221,31.28337860107422
40.0,LRU, 2001,100,1000,249 ,751, 0.249,47.306060791015625
40.0,LFU, 2001,100,1000,226 ,774, 0.226,46.933889389038086
40.0,FIFO, 2001,100,1000,246 ,754, 0.246,15.596151351928711
40.0,LRU, 2001,100,1000,254 ,746, 0.254,31.74281120300293
40.0,LFU, 2001,100,1000,238 ,762, 0.238,43.76816749572754
40.0,FIFO, 2001,100,1000,253 ,747, 0.253,32.293081283569336
40.0,LRU, 2001,100,1000,255 ,745, 0.255,24.203777313232422
40.0,LFU, 2001,100,1000,257 ,743, 0.257,31.25762939453125
40.0,FIFO, 2001,100,1000,252 ,748, 0.252,31.275033950805664
40.0,LRU, 2001,100,1000,223 ,777, 0.223,31.249523162841797
40.0,LFU, 2001,100,1000,232 ,768, 0.232,27.190446853637695
40.0,FIFO, 2001,100,1000,230 ,770, 0.23,31.286954879760742
40.0,LRU, 2001,100,1000,239 ,761, 0.239,31.247615814208984
40.0,LFU, 2001,100,1000,250 ,750, 0.25,62.978506088256836
40.0,FIFO, 2001,100,1000,237 ,763, 0.237,31.24833106994629
50.0,LRU, 2001,100,1000,189 ,811, 0.189,31.690120697021484
50.0,LFU, 2001,100,1000,192 ,808, 0.192,31.470775604248047
50.0,FIFO, 2001,100,1000,188 ,812, 0.188,38.0711555480957
50.0,LRU, 2001,100,1000,180 ,820, 0.18,24.674654006958008
50.0,LFU, 2001,100,1000,176 ,824, 0.176,39.57200050354004
50.0,FIFO, 2001,100,1000,180 ,820, 0.18,32.301902770996094
50.0,LRU, 2001,100,1000,221 ,779, 0.221,24.119853973388672
50.0,LFU, 2001,100,1000,203 ,797, 0.203,39.543867111206055
50.0,FIFO, 2001,100,1000,217 ,783, 0.217,15.591621398925781
50.0,LRU, 2001,100,1000,208 ,792, 0.208,31.34632110595703
50.0,LFU, 2001,100,1000,196 ,804, 0.196,47.11508750915527
50.0,FIFO, 2001,100,1000,215 ,785, 0.215,15.436649322509766
50.0,LRU, 2001,100,1000,200 ,800, 0.2,31.646251678466797
50.0,LFU, 2001,100,1000,192 ,808, 0.192,31.260251998901367
50.0,FIFO, 2001,100,1000,198 ,802, 0.198,46.87976837158203
50.0,LRU, 2001,100,1000,198 ,802, 0.198,31.723976135253906
50.0,LFU, 2001,100,1000,188 ,812, 0.188,62.52169609069824
50.0,FIFO, 2001,100,1000,195 ,805, 0.195,16.09659194946289
50.0,LRU, 2001,100,1000,176 ,824, 0.176,46.911001205444336
50.0,LFU, 2001,100,1000,173 ,827, 0.173,31.24690055847168
50.0,FIFO, 2001,100,1000,176 ,824, 0.176,32.212257385253906
50.0,LRU, 2001,100,1000,183 ,817, 0.183,32.21321105957031
50.0,LFU, 2001,100,1000,170 ,830, 0.17,31.764507293701172
50.0,FIFO, 2001,100,1000,185 ,815, 0.185,31.713485717773438
50.0,LRU, 2001,100,1000,183 ,817, 0.183,31.2497615814209
50.0,LFU, 2001,100,1000,193 ,807, 0.193,31.224966049194336
50.0,FIFO, 2001,100,1000,188 ,812, 0.188,31.67271614074707
60.0,LRU, 2001,100,1000,162 ,838, 0.162,46.90217971801758
60.0,LFU, 2001,100,1000,157 ,843, 0.157,47.32012748718262
60.0,FIFO, 2001,100,1000,161 ,839, 0.161,31.25143051147461
60.0,LRU, 2001,100,1000,144 ,856, 0.144,31.798839569091797
60.0,LFU, 2001,100,1000,155 ,845, 0.155,46.85211181640625
60.0,FIFO, 2001,100,1000,146 ,854, 0.146,31.2502384185791
60.0,LRU, 2001,100,1000,145 ,855, 0.145,31.718730926513672
60.0,LFU, 2001,100,1000,161 ,839, 0.161,40.108442306518555
60.0,FIFO, 2001,100,1000,148 ,852, 0.148,32.00650215148926
60.0,LRU, 2001,100,1000,180 ,820, 0.18,31.734943389892578
60.0,LFU, 2001,100,1000,178 ,822, 0.178,31.301498413085938
60.0,FIFO, 2001,100,1000,187 ,813, 0.187,31.2502384185791
60.0,LRU, 2001,100,1000,149 ,851, 0.149,31.71515464782715
60.0,LFU, 2001,100,1000,146 ,854, 0.146,46.89645767211914
60.0,FIFO, 2001,100,1000,151 ,849, 0.151,31.255245208740234
60.0,LRU, 2001,100,1000,163 ,837, 0.163,62.95013427734375
60.0,LFU, 2001,100,1000,170 ,830, 0.17,52.408456802368164
60.0,FIFO, 2001,100,1000,161 ,839, 0.161,26.18408203125
60.0,LRU, 2001,100,1000,178 ,822, 0.178,46.86784744262695
60.0,LFU, 2001,100,1000,175 ,825, 0.175,31.647682189941406
60.0,FIFO, 2001,100,1000,174 ,826, 0.174,31.284809112548828
60.0,LRU, 2001,100,1000,147 ,853, 0.147,31.9364070892334
60.0,LFU, 2001,100,1000,138 ,862, 0.138,40.28153419494629
60.0,FIFO, 2001,100,1000,145 ,855, 0.145,16.34693145751953
60.0,LRU, 2001,100,1000,153 ,847, 0.153,31.281709671020508
60.0,LFU, 2001,100,1000,150 ,850, 0.15,46.05460166931152
60.0,FIFO, 2001,100,1000,153 ,847, 0.153,24.305343627929688
70.0,LRU, 2001,100,1000,144 ,856, 0.144,40.26532173156738
70.0,LFU, 2001,100,1000,128 ,872, 0.128,48.62666130065918
70.0,FIFO, 2001,100,1000,147 ,853, 0.147,32.46116638183594
70.0,LRU, 2001,100,1000,141 ,859, 0.141,37.07075119018555
70.0,LFU, 2001,100,1000,146 ,854, 0.146,52.26850509643555
70.0,FIFO, 2001,100,1000,140 ,860, 0.14,32.49001502990723
70.0,LRU, 2001,100,1000,161 ,839, 0.161,31.980276107788086
70.0,LFU, 2001,100,1000,148 ,852, 0.148,40.2216911315918
70.0,FIFO, 2001,100,1000,161 ,839, 0.161,24.270296096801758
70.0,LRU, 2001,100,1000,132 ,868, 0.132,32.440185546875
70.0,LFU, 2001,100,1000,127 ,873, 0.127,40.613651275634766
70.0,FIFO, 2001,100,1000,130 ,870, 0.13,32.50837326049805
70.0,LRU, 2001,100,1000,121 ,879, 0.121,40.86613655090332
70.0,LFU, 2001,100,1000,130 ,870, 0.13,64.58616256713867
70.0,FIFO, 2001,100,1000,120 ,880, 0.12,24.658918380737305
70.0,LRU, 2001,100,1000,149 ,851, 0.149,40.26436805725098
70.0,LFU, 2001,100,1000,137 ,863, 0.137,56.12373352050781
70.0,FIFO, 2001,100,1000,147 ,853, 0.147,32.48953819274902
70.0,LRU, 2001,100,1000,141 ,859, 0.141,24.064064025878906
70.0,LFU, 2001,100,1000,131 ,869, 0.131,46.851396560668945
70.0,FIFO, 2001,100,1000,141 ,859, 0.141,31.248807907104492
70.0,LRU, 2001,100,1000,132 ,868, 0.132,31.251192092895508
70.0,LFU, 2001,100,1000,131 ,869, 0.131,40.08793830871582
70.0,FIFO, 2001,100,1000,131 ,869, 0.131,32.5922966003418
70.0,LRU, 2001,100,1000,144 ,856, 0.144,40.48585891723633
70.0,LFU, 2001,100,1000,151 ,849, 0.151,40.68946838378906
70.0,FIFO, 2001,100,1000,145 ,855, 0.145,33.03790092468262
80.0,LRU, 2001,100,1000,115 ,885, 0.115,39.498329162597656
80.0,LFU, 2001,100,1000,122 ,878, 0.122,47.73402214050293
80.0,FIFO, 2001,100,1000,113 ,887, 0.113,31.665563583374023
80.0,LRU, 2001,100,1000,129 ,871, 0.129,31.276941299438477
80.0,LFU, 2001,100,1000,128 ,872, 0.128,62.38842010498047
80.0,FIFO, 2001,100,1000,129 ,871, 0.129,83.15157890319824
80.0,LRU, 2001,100,1000,124 ,876, 0.124,72.61061668395996
80.0,LFU, 2001,100,1000,111 ,889, 0.111,48.35247993469238
80.0,FIFO, 2001,100,1000,126 ,874, 0.126,32.29880332946777
80.0,LRU, 2001,100,1000,132 ,868, 0.132,48.876285552978516
80.0,LFU, 2001,100,1000,115 ,885, 0.115,49.25107955932617
80.0,FIFO, 2001,100,1000,131 ,869, 0.131,39.78323936462402
80.0,LRU, 2001,100,1000,107 ,893, 0.107,57.22951889038086
80.0,LFU, 2001,100,1000,105 ,895, 0.105,64.73445892333984
80.0,FIFO, 2001,100,1000,106 ,894, 0.106,40.39812088012695
80.0,LRU, 2001,100,1000,115 ,885, 0.115,47.072649002075195
80.0,LFU, 2001,100,1000,126 ,874, 0.126,48.05159568786621
80.0,FIFO, 2001,100,1000,116 ,884, 0.116,23.969650268554688
80.0,LRU, 2001,100,1000,105 ,895, 0.105,40.292978286743164
80.0,LFU, 2001,100,1000,108 ,892, 0.108,39.75677490234375
80.0,FIFO, 2001,100,1000,106 ,894, 0.106,32.25898742675781
80.0,LRU, 2001,100,1000,93 ,907, 0.093,40.1151180267334
80.0,LFU, 2001,100,1000,103 ,897, 0.103,39.97683525085449
80.0,FIFO, 2001,100,1000,93 ,907, 0.093,27.065038681030273
80.0,LRU, 2001,100,1000,129 ,871, 0.129,29.046297073364258
80.0,LFU, 2001,100,1000,123 ,877, 0.123,48.010826110839844
80.0,FIFO, 2001,100,1000,129 ,871, 0.129,24.222850799560547
90.0,LRU, 2001,100,1000,103 ,897, 0.103,31.994104385375977
90.0,LFU, 2001,100,1000,118 ,882, 0.118,40.07387161254883
90.0,FIFO, 2001,100,1000,102 ,898, 0.102,32.209157943725586
90.0,LRU, 2001,100,1000,102 ,898, 0.102,32.00244903564453
90.0,LFU, 2001,100,1000,95 ,905, 0.095,40.042877197265625
90.0,FIFO, 2001,100,1000,101 ,899, 0.101,32.135725021362305
90.0,LRU, 2001,100,1000,83 ,917, 0.083,31.996488571166992
90.0,LFU, 2001,100,1000,86 ,914, 0.086,48.09308052062988
90.0,FIFO, 2001,100,1000,81 ,919, 0.081,32.03940391540527
90.0,LRU, 2001,100,1000,103 ,897, 0.103,39.99972343444824
90.0,LFU, 2001,100,1000,99 ,901, 0.099,48.111915588378906
90.0,FIFO, 2001,100,1000,102 ,898, 0.102,32.001495361328125
90.0,LRU, 2001,100,1000,135 ,865, 0.135,48.14028739929199
90.0,LFU, 2001,100,1000,125 ,875, 0.125,47.988176345825195
90.0,FIFO, 2001,100,1000,133 ,867, 0.133,32.34744071960449
90.0,LRU, 2001,100,1000,121 ,879, 0.121,40.54713249206543
90.0,LFU, 2001,100,1000,111 ,889, 0.111,40.65728187561035
90.0,FIFO, 2001,100,1000,119 ,881, 0.119,32.16409683227539
90.0,LRU, 2001,100,1000,92 ,908, 0.092,32.76562690734863
90.0,LFU, 2001,100,1000,103 ,897, 0.103,53.258657455444336
90.0,FIFO, 2001,100,1000,92 ,908, 0.092,27.810335159301758
90.0,LRU, 2001,100,1000,104 ,896, 0.104,32.52696990966797
