UNIQUE_READS_PERCENT, POLICY, READ_WRITES, CACHE_SIZE, RAM_SIZE, HIT, MISS, RATIO,TIME ns
10.0,LRU, 2001,10,1000,94 ,906, 0.094,14.032125473022461
10.0,LFU, 2001,10,1000,90 ,910, 0.09,14.01662826538086
10.0,FIFO, 2001,10,1000,95 ,905, 0.095,1.9659996032714844
10.0,LRU, 2001,10,1000,77 ,923, 0.077,15.665769577026367
10.0,LFU, 2001,10,1000,82 ,918, 0.082,22.205591201782227
10.0,FIFO, 2001,10,1000,77 ,923, 0.077,9.546518325805664
10.0,LRU, 2001,10,1000,103 ,897, 0.103,15.677452087402344
10.0,LFU, 2001,10,1000,108 ,892, 0.108,15.625476837158203
10.0,FIFO, 2001,10,1000,103 ,897, 0.103,15.625238418579102
10.0,LRU, 2001,10,1000,101 ,899, 0.101,15.811920166015625
10.0,LFU, 2001,10,1000,98 ,902, 0.098,15.674829483032227
10.0,FIFO, 2001,10,1000,101 ,899, 0.101,16.059398651123047
10.0,LRU, 2001,10,1000,107 ,893, 0.107,16.060829162597656
10.0,LFU, 2001,10,1000,98 ,902, 0.098,15.425443649291992
10.0,FIFO, 2001,10,1000,107 ,893, 0.107,17.667770385742188
10.0,LRU, 2001,10,1000,95 ,905, 0.095,19.654273986816406
10.0,LFU, 2001,10,1000,112 ,888, 0.112,4.738807678222656
10.0,FIFO, 2001,10,1000,96 ,904, 0.096,21.76809310913086
10.0,LRU, 2001,10,1000,108 ,892, 0.108,9.528160095214844
10.0,LFU, 2001,10,1000,107 ,893, 0.107,15.882730484008789
10.0,FIFO, 2001,10,1000,108 ,892, 0.108,15.400409698486328
10.0,LRU, 2001,10,1000,111 ,889, 0.111,15.624761581420898
10.0,LFU, 2001,10,1000,93 ,907, 0.093,15.621662139892578
10.0,FIFO, 2001,10,1000,111 ,889, 0.111,15.631914138793945
10.0,LRU, 2001,10,1000,92 ,908, 0.092,16.04914665222168
10.0,LFU, 2001,10,1000,97 ,903, 0.097,15.892744064331055
10.0,FIFO, 2001,10,1000,92 ,908, 0.092,15.594959259033203
10.0,LRU, 2001,10,1000,77 ,923, 0.077,15.439271926879883
10.0,LFU, 2001,10,1000,89 ,911, 0.089,15.807390213012695
10.0,FIFO, 2001,10,1000,76 ,924, 0.076,15.442371368408203
10.0,LRU, 2001,10,1000,103 ,897, 0.103,15.599727630615234
10.0,LFU, 2001,10,1000,102 ,898, 0.102,16.09182357788086
10.0,FIFO, 2001,10,1000,103 ,897, 0.103,0.0
10.0,LRU, 2001,10,1000,103 ,897, 0.103,0.0
10.0,LFU, 2001,10,1000,90 ,910, 0.09,15.61880111694336
10.0,FIFO, 2001,10,1000,103 ,897, 0.103,15.628814697265625
10.0,LRU, 2001,10,1000,102 ,898, 0.102,15.646219253540039
10.0,LFU, 2001,10,1000,96 ,904, 0.096,24.548768997192383
10.0,FIFO, 2001,10,1000,102 ,898, 0.102,7.22956657409668
10.0,LRU, 2001,10,1000,103 ,897, 0.103,15.651226043701172
10.0,LFU, 2001,10,1000,96 ,904, 0.096,15.619754791259766
10.0,FIFO, 2001,10,1000,103 ,897, 0.103,15.636444091796875
10.0,LRU, 2001,10,1000,88 ,912, 0.088,15.64478874206543
10.0,LFU, 2001,10,1000,98 ,902, 0.098,15.600919723510742
10.0,FIFO, 2001,10,1000,88 ,912, 0.088,16.048192977905273
10.0,LRU, 2001,10,1000,102 ,898, 0.102,15.654325485229492
